,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119060000,1011.5,-0.18,6.0,1011.0,140.0,3.6,30.2,23.5,8000.0,2.0,1.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119060000,1009.8,-0.16,7.0,1009.0,40.0,3.1,29.8,24.0,6000.0,2.0,1.0,1.0,7.0,2.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119060000,1009.6,-0.23,7.0,1009.0,330.0,2.1,30.6,24.6,10000.0,,,,6.0,2.0,5.0,5.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119060000,1009.9,-0.2,8.0,1009.0,210.0,1.5,30.8,25.9,10000.0,2.0,1.0,1.0,7.0,5.0,4.0,8.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119060000,1010.0,-0.22,7.0,1010.0,40.0,3.6,31.6,23.8,10000.0,2.0,1.0,1.0,5.0,2.0,4.0,9.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119060000,1009.4,-0.24,7.0,1009.0,330.0,4.1,30.6,24.7,10000.0,2.0,1.0,1.0,6.0,3.0,4.0,2.0,7.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119060000,1008.7,-0.32,7.0,1008.0,310.0,3.6,29.7,24.8,9000.0,2.0,1.0,1.0,7.0,3.0,5.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119060000,1010.0,-0.16,7.0,1010.0,320.0,2.1,26.3,24.2,10000.0,2.0,9.0,6.0,7.0,4.0,4.0,8.0,7.0,1.0,,0.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119060000,1010.5,-0.26,6.0,1010.0,350.0,2.6,30.0,24.0,10000.0,1.0,9.0,6.0,7.0,5.0,4.0,2.0,3.0,8.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119060000,1009.4,0.25,2.0,1009.0,350.0,6.2,30.4,23.7,10000.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,96109,Pakanbaru / Simpangtiga (Indonesia),0.46,101.44,31,96109,0.46,101.44,20191119060000,1008.0,-0.32,8.0,1008.0,250.0,2.1,30.6,23.8,9000.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,96145,Tarempa (Indonesia),3.21,106.21,3,96145,3.21,106.21,20191119060000,1009.1,-0.19,8.0,1009.0,350.0,3.1,29.4,24.2,5000.0,5.0,6.0,2.0,6.0,2.0,4.0,2.0,2.0,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,96147,Ranai / Ranai (Indonesia),3.91,108.39,2,96147,3.91,108.39,20191119060000,1009.8,-0.17,7.0,1009.0,20.0,4.1,28.9,23.9,10000.0,0.0,,,2.0,,4.0,,,,,,0.5,,,,,,,23.5,30.7,,,,,,,,,,,,,,,,,
13,96163,Mia Padang (Indonesia),-0.78,100.28,3,96163,-0.78,100.28,20191119060000,1009.3,-0.21,8.0,1009.0,230.0,4.1,29.6,24.7,10000.0,2.0,1.0,1.0,6.0,3.0,5.0,5.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,96171,Rengat/Japura (Indonesia),-0.34,102.33,46,96171,-0.34,102.33,20191119060000,1008.7,-0.32,8.0,1008.0,340.0,1.5,30.8,24.5,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,96179,Singkep / Dabo (Indonesia),-0.47,104.57,31,96179,-0.47,104.57,20191119060000,1008.7,-0.16,6.0,1008.0,250.0,2.1,29.0,25.2,8000.0,2.0,6.0,2.0,7.0,3.0,4.0,2.0,2.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,96195,Jambi / Sultan Taha (Indonesia),-1.63,103.64,25,96195,-1.63,103.64,20191119060000,1008.9,-0.27,8.0,1008.0,60.0,2.1,29.6,24.5,10000.0,2.0,4.0,2.0,7.0,5.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
