# ID,StationNumber,StationName,Latitude,Longitude,Date,Pressure,temp,TD,DD,FF
1,71082,71082,82.5,-62.31,20191118_0000,997,-18.7,-21.2,290,1
3,71082,71082,82.5,-62.31,20191118_0000,925,-13.7,-22.7,20,9.3
5,71082,71082,82.5,-62.31,20191118_0000,850,-13.1,-23.1,55,11.3
10,71082,71082,82.5,-62.31,20191118_0000,700,-20.1,-28.1,100,12.9
17,71082,71082,82.5,-62.31,20191118_0000,500,-36.7,-40.6,120,17
25,71082,71082,82.5,-62.31,20191118_0000,400,-45.9,-52.9,115,23.1
30,71082,71082,82.5,-62.31,20191118_0000,306,-57.3,-63.3,120,33.4
31,71082,71082,82.5,-62.31,20191118_0000,300,-57.3,-64.3,120,31.9
34,71082,71082,82.5,-62.31,20191118_0000,250,-56.5,-72.5,125,21.1
37,71082,71082,82.5,-62.31,20191118_0000,200,-55.5,-81.5,135,13.4
41,71082,71082,82.5,-62.31,20191118_0000,150,-59.1,-86.1,120,17.5
44,71082,71082,82.5,-62.31,20191118_0000,100,-64.9,-88.9,110,12.3
45,71082,71082,82.5,-62.31,20191118_0000,97.9,-65.5,-89.5,110,14.4
49,71082,71082,82.5,-62.31,20191118_0000,70,-66.7,-90.7,125,11.3
51,71082,71082,82.5,-62.31,20191118_0000,50,-72.1,-92.1,115,6.2
52,20046,20046,80.62,58.05,20191118_0000,1029,-2.3,-2.9,290,4
54,20046,20046,80.62,58.05,20191118_0000,1000,-3.3,-3.7,295,6
58,20046,20046,80.62,58.05,20191118_0000,925,-5.9,-6.2,295,11
62,20046,20046,80.62,58.05,20191118_0000,850,-10.5,-11,305,9
68,20046,20046,80.62,58.05,20191118_0000,700,-14.1,-17.8,260,5
70,20046,20046,80.62,58.05,20191118_0000,618,-19.1,-22.2,280,4
78,20046,20046,80.62,58.05,20191118_0000,500,-26.3,-33.3,10,7
82,20046,20046,80.62,58.05,20191118_0000,400,-37.1,-43.1,305,8
85,20046,20046,80.62,58.05,20191118_0000,300,-51.1,-54.4,300,10
86,20046,20046,80.62,58.05,20191118_0000,250,-59.3,-62.9,310,13
89,20046,20046,80.62,58.05,20191118_0000,200,-69.3,-73,305,14
91,20046,20046,80.62,58.05,20191118_0000,176,-73.7,-77.3,315,13
92,20046,20046,80.62,58.05,20191118_0000,164,-74.1,-77.8,320,9
94,20046,20046,80.62,58.05,20191118_0000,150,-72.9,-76.4,290,12
98,20046,20046,80.62,58.05,20191118_0000,100,-68.7,-72.4,325,5
99,71917,71917,80,-85.91,20191118_0000,1007,-17.5,-21.6,280,6.2
100,71917,71917,80,-85.91,20191118_0000,1000,-17.3,-22,285,6.2
104,71917,71917,80,-85.91,20191118_0000,925,-16.1,-22.1,355,5.7
110,71917,71917,80,-85.91,20191118_0000,850,-17.5,-21.9,75,4.6
116,71917,71917,80,-85.91,20191118_0000,700,-24.1,-31.1,75,4.1
123,71917,71917,80,-85.91,20191118_0000,500,-40.7,-46.7,85,8.7
129,71917,71917,80,-85.91,20191118_0000,400,-51.3,-56.3,45,10.8
131,71917,71917,80,-85.91,20191118_0000,339,-56.9,-62.9,60,8.2
133,71917,71917,80,-85.91,20191118_0000,300,-55.5,-62.5,85,11.3
138,71917,71917,80,-85.91,20191118_0000,250,-54.1,-67.1,65,11.3
144,71917,71917,80,-85.91,20191118_0000,200,-53.5,-71.5,115,8.7
150,71917,71917,80,-85.91,20191118_0000,150,-57.7,-80.7,50,6.2
156,20292,20292,77.71,104.29,20191118_0000,1016,-7.7,-8.8,295,11
158,20292,20292,77.71,104.29,20191118_0000,1000,-7.5,-9.8,350,13
162,20292,20292,77.71,104.29,20191118_0000,925,-8.7,-11.7,335,19
167,20292,20292,77.71,104.29,20191118_0000,850,-12.5,-15.3,335,18
171,20292,20292,77.71,104.29,20191118_0000,700,-18.9,-22.2,335,24
176,20292,20292,77.71,104.29,20191118_0000,500,-31.9,-42.9,345,26
179,20292,20292,77.71,104.29,20191118_0000,400,-40.3,-52.3,360,34
186,20292,20292,77.71,104.29,20191118_0000,300,-53.1,-64.1,360,39
190,20292,20292,77.71,104.29,20191118_0000,271,-57.9,-67.9,360,35
192,20292,20292,77.71,104.29,20191118_0000,250,-58.3,-68.3,360,32
197,20292,20292,77.71,104.29,20191118_0000,200,-60.7,-69.7,360,19
204,20292,20292,77.71,104.29,20191118_0000,150,-61.5,-70.5,25,12
206,20292,20292,77.71,104.29,20191118_0000,132,-66.3,-75.3,30,11
211,20292,20292,77.71,104.29,20191118_0000,100,-66.5,-75.5,65,6
212,21432,21432,76,137.86,20191118_0000,1004,-9.7,-11.3,270,10
213,21432,21432,76,137.86,20191118_0000,1000,-10.1,-13.4,265,12
216,21432,21432,76,137.86,20191118_0000,925,-12.3,-13.8,270,15
219,21432,21432,76,137.86,20191118_0000,850,-14.7,-15.7,280,15
224,21432,21432,76,137.86,20191118_0000,700,-22.3,-23.7,285,15
231,21432,21432,76,137.86,20191118_0000,500,-35.9,-38.5,280,15
238,21432,21432,76,137.86,20191118_0000,400,-46.7,-49.1,295,10
241,21432,21432,76,137.86,20191118_0000,300,-54.5,-57.7,330,9
243,21432,21432,76,137.86,20191118_0000,288,-55.7,-59,325,9
247,21432,21432,76,137.86,20191118_0000,250,-56.3,-59.7,325,8
251,21432,21432,76,137.86,20191118_0000,200,-53.5,-57.9,310,4
256,21432,21432,76,137.86,20191118_0000,150,-53.3,-59.3,210,4
260,21432,21432,76,137.86,20191118_0000,100,-58.7,-65.7,205,10
263,71924,71924,74.71,-94.96,20191118_0000,1000,-17.7,-20.1,90,4.1
265,71924,71924,74.71,-94.96,20191118_0000,925,-22.3,-25.7,95,4.6
268,71924,71924,74.71,-94.96,20191118_0000,850,-26.3,-30.3,95,2.6
272,71924,71924,74.71,-94.96,20191118_0000,700,-29.5,-32.3,90,1.5
275,71924,71924,74.71,-94.96,20191118_0000,500,-38.1,-43.1,335,9.8
277,71924,71924,74.71,-94.96,20191118_0000,400,-45.3,-53.3,335,17
279,71924,71924,74.71,-94.96,20191118_0000,300,-54.9,-61.9,335,14.9
280,71924,71924,74.71,-94.96,20191118_0000,287,-56.1,-63.1,340,16.5
285,71924,71924,74.71,-94.96,20191118_0000,250,-54.5,-62.5,330,12.9
289,71924,71924,74.71,-94.96,20191118_0000,200,-55.3,-69.3,350,6.7
292,71924,71924,74.71,-94.96,20191118_0000,150,-55.7,-74.7,360,10.3
297,20674,20674,73.51,80.4,20191118_0000,1036,-17.3,-19,270,4
299,20674,20674,73.51,80.4,20191118_0000,1000,-18.1,-24.1,305,9
305,20674,20674,73.51,80.4,20191118_0000,925,-16.3,-23.3,315,9
311,20674,20674,73.51,80.4,20191118_0000,850,-12.3,-24.3,345,10
318,20674,20674,73.51,80.4,20191118_0000,700,-17.9,-26.9,10,8
333,20674,20674,73.51,80.4,20191118_0000,500,-30.9,-44.9,5,11
337,20674,20674,73.51,80.4,20191118_0000,400,-38.9,-42.5,45,16
340,20674,20674,73.51,80.4,20191118_0000,300,-53.3,-56.7,55,25
341,20674,20674,73.51,80.4,20191118_0000,250,-61.5,-64.7,55,31
345,20674,20674,73.51,80.4,20191118_0000,200,-71.1,-74.4,55,37
347,20674,20674,73.51,80.4,20191118_0000,189,-72.9,-76.2,55,36
349,20674,20674,73.51,80.4,20191118_0000,150,-69.5,-73.1,55,18
352,20674,20674,73.51,80.4,20191118_0000,100,-69.7,-73.3,50,13
353,20744,20744,72.36,52.7,20191118_0000,1036,-9.1,-11.6,110,5
356,20744,20744,72.36,52.7,20191118_0000,1000,-11.1,-22.1,130,10
359,20744,20744,72.36,52.7,20191118_0000,925,-14.9,-31.9,120,11
361,20744,20744,72.36,52.7,20191118_0000,850,-16.7,-34.7,115,9
362,20744,20744,72.36,52.7,20191118_0000,772,-13.3,-34.3,110,7
