start,end,bbox,region_name,location_name,model_ids,run_extract,run_download,run_plotting,ftp_upload
realtime,realtime,"100,0,110,10",SE-Asia,Peninsular-Malaysia,"analysis,ga7,km4p4",True,False,True,False
realtime,realtime,"104,-9,109.5,-3.5",SE-Asia,West-Java,"analysis,ga7,km4p4",True,False,True,False
realtime,realtime,"117.5,11,125.5,19",SE-Asia,Northern-Luzon,"analysis,ga7,km4p4",True,False,True,False
realtime,realtime,"118,-6,126,2",SE-Asia,Sulawesi,"analysis,ga7,km4p4",True,False,True,False
realtime,realtime,"112,-11,120,-3",SE-Asia,East-Java,"analysis,ga7,km4p4",True,False,True,False
realtime,realtime,"30.7,-3.5,35.3,1.1",East-Africa,Lake-Victoria,"analysis,global,africa",True,False,True,False
realtime,realtime,"-4.6,4.4,2.5,11.5",West-Africa,Ghana,"analysis,global,africa",True,False,True,False
realtime,realtime,"-17.8,10.5,-9.8,18.5",West-Africa,Senegal,"analysis,global,africa",True,False,True,False
realtime,realtime,"28.7,-12,41,-0.5",East-Africa,Tanzania,"analysis,global,africa",True,False,True,False
realtime,realtime,"33.5,-4.9,42.3,5.2",East-Africa,Kenya,"analysis,global,africa",True,False,True,False
realtime,realtime,"2.2,3.9,12.2,13.9",West-Africa,Nigeria,"analysis,global,africa",True,False,True,False
20200510,20200516,"117.5,11,125.5,19",SE-Asia,Northern-Luzon,"analysis,ga7,km4p4,km1p5",False,False,False,False
20200608,20200613,"117.5,11,125.5,19",SE-Asia,Northern-Luzon,"analysis,ga7,km4p4,km1p5",False,False,False,False
20200806,20200808,"102.5,16,110.5,24",SE-Asia,Northern-Vietnam,"analysis,ga7,km4p4,km1p5",False,False,False,False
20200124,20200125,"102.5,16,110.5,24",SE-Asia,Northern-Vietnam,"analysis,ga7,km4p4,km1p5",False,False,False,False
20190801,20190804,"102.5,16,110.5,24",SE-Asia,Northern-Vietnam,"analysis,ga6,km4p4,km1p5",False,False,False,False
20200921,20200922,"104,-9,109.5,-3.5",SE-Asia,West-Java,"analysis,ga7,km4p4,km1p5",False,False,False,False
20191227,20200102,"104,-9,109.5,-3.5",SE-Asia,West-Java,"analysis,ga7,km4p4,km1p5",False,False,False,False
20190305,20190308,"30.7,-3.5,35.3,1.1",East-Africa,Lake-Victoria,"analysis,global,africa",False,False,False,False
20200917,20200920,"104,-9,109.5,-3.5",SE-Asia,West-Java,"analysis,ga7,km4p4,km1p5",False,False,False,False
20180127,20180129,"102.5,16,110.5,24",SE-Asia,Northern-Vietnam,"analysis,ga6,km4p4,km1p5",False,False,False,False
